Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human Whole-genome alignment coverage	Human orthology confidence [0 low, 1 high]
ENSMMUG00000022208	SCCPDH	ENSG00000143653	SCCPDH	100.00	1
ENSMMUG00000056452					
ENSMMUG00000050866					
ENSMMUG00000057881	5S_rRNA				
ENSMMUG00000062560	U6	ENSG00000206764	RNU6-152P	100.00	1
ENSMMUG00000064226					
ENSMMUG00000061675	5S_rRNA				
ENSMMUG00000053105	5S_rRNA				
ENSMMUG00000044246	Metazoa_SRP	ENSG00000242794	RN7SL299P	100.00	1
ENSMMUG00000052988	Metazoa_SRP				
ENSMMUG00000051199	5S_rRNA				
ENSMMUG00000058983	5S_rRNA	ENSG00000200370	RNA5S17	0.00	0
ENSMMUG00000050099	5S_rRNA				
ENSMMUG00000053289	5S_rRNA	ENSG00000201925	RNA5S15	0.00	0
ENSMMUG00000050167	5S_rRNA				
ENSMMUG00000054394	5S_rRNA				
ENSMMUG00000050971					
ENSMMUG00000026576	U6	ENSG00000201028	RNU6-151P	100.00	1
ENSMMUG00000050302	Metazoa_SRP				
ENSMMUG00000061587	U6				
ENSMMUG00000064992	Metazoa_SRP				
ENSMMUG00000025558	U1	ENSG00000199879	RNVU1-22	100.00	1
ENSMMUG00000060709					
ENSMMUG00000035621	U1				
ENSMMUG00000050926	Y_RNA	ENSG00000199565	Y_RNA	100.00	1
ENSMMUG00000047025	Metazoa_SRP	ENSG00000242565	RN7SL372P	100.00	1
ENSMMUG00000051961	U6	ENSG00000200796	RNU6-753P	100.00	1
ENSMMUG00000056846					
ENSMMUG00000062726					
ENSMMUG00000036728					
ENSMMUG00000050964	Metazoa_SRP				
ENSMMUG00000065137					
ENSMMUG00000057829	Y_RNA	ENSG00000272051	Y_RNA	100.00	1
ENSMMUG00000061941	Metazoa_SRP				
ENSMMUG00000054812	Metazoa_SRP				
ENSMMUG00000059354	U6	ENSG00000252162	RNU6-830P	100.00	1
ENSMMUG00000045839	Metazoa_SRP	ENSG00000242811	RN7SL229P	100.00	1
ENSMMUG00000054381					
ENSMMUG00000049093	Metazoa_SRP	ENSG00000242638	RN7SL294P	100.00	1
ENSMMUG00000057363					
ENSMMUG00000051050					
ENSMMUG00000054970					
ENSMMUG00000055981		ENSG00000100567	PSMA3	0.00	0
ENSMMUG00000052461					
ENSMMUG00000058124					
ENSMMUG00000060426	Metazoa_SRP				
ENSMMUG00000059666	U6	ENSG00000207144	RNU6-1297P	100.00	1
ENSMMUG00000060006					
ENSMMUG00000025681	U6	ENSG00000207134	RNU6-106P	100.00	1
ENSMMUG00000062580					
ENSMMUG00000001382	GJA8	ENSG00000121634	GJA8	100.00	1
ENSMMUG00000043586	ID3	ENSG00000117318	ID3	100.00	1
ENSMMUG00000052364					
ENSMMUG00000052910					
ENSMMUG00000064896	Metazoa_SRP				
ENSMMUG00000060928					
ENSMMUG00000011380	CNST	ENSG00000162852	CNST	100.00	1
ENSMMUG00000002585	CCDC190	ENSG00000185860	CCDC190	100.00	1
ENSMMUG00000062933					
ENSMMUG00000059690		ENSG00000233056	ERVH48-1	0.00	0
ENSMMUG00000055490	TFB2M	ENSG00000162851	TFB2M	100.00	1
ENSMMUG00000055003					
ENSMMUG00000056502					
ENSMMUG00000055345	Y_RNA	ENSG00000200361	Y_RNA	100.00	1
ENSMMUG00000026049	Y_RNA	ENSG00000200610	Y_RNA	100.00	1
ENSMMUG00000005777	SMYD3	ENSG00000185420	SMYD3	100.00	1
ENSMMUG00000024556	U6	ENSG00000202184	RNU6-1283P	100.00	1
ENSMMUG00000008153	NPR1	ENSG00000169418	NPR1	100.00	1
ENSMMUG00000017324	KIF26B	ENSG00000162849	KIF26B	100.00	1
ENSMMUG00000050220					
ENSMMUG00000052401	Metazoa_SRP				
ENSMMUG00000059892	Metazoa_SRP				
ENSMMUG00000027317	U1	ENSG00000201170	RNU1-132P	100.00	1
ENSMMUG00000008847	SH2D5	ENSG00000189410	SH2D5	100.00	1
ENSMMUG00000011424	EFCAB2	ENSG00000203666	EFCAB2	100.00	1
ENSMMUG00000057396	Metazoa_SRP				
ENSMMUG00000036930	U6	ENSG00000251754	RNU6-999P	100.00	1
ENSMMUG00000060683	mml-mir-7180				
ENSMMUG00000023150	KIAA1143	ENSG00000163807	KIAA1143	100.00	1
ENSMMUG00000051140	U6	ENSG00000252282	RNU6-1089P	100.00	1
ENSMMUG00000053368					
ENSMMUG00000036090	U6	ENSG00000252073	RNU6-947P	100.00	1
ENSMMUG00000050136	Metazoa_SRP				
ENSMMUG00000060516					
ENSMMUG00000054234	SERP1	ENSG00000120742	SERP1	100.00	1
ENSMMUG00000021098	HNRNPU	ENSG00000153187	HNRNPU	100.00	1
ENSMMUG00000013353					
ENSMMUG00000059986					
ENSMMUG00000062668	U6	ENSG00000252046	RNU6-150P	0.00	0
ENSMMUG00000058292					
ENSMMUG00000031175	COX20	ENSG00000203667	COX20	100.00	1
ENSMMUG00000048085					
ENSMMUG00000062648					
ENSMMUG00000054073					
ENSMMUG00000057626					
ENSMMUG00000018525	PSEN2	ENSG00000143801	PSEN2	100.00	1
ENSMMUG00000022310	DESI2	ENSG00000121644	DESI2	100.00	1
ENSMMUG00000058133					
ENSMMUG00000052237	Metazoa_SRP				
ENSMMUG00000012031	COL8A2	ENSG00000171812	COL8A2	100.00	1
ENSMMUG00000000021	CATSPERE	ENSG00000179397	CATSPERE	99.93	1
ENSMMUG00000008636	COQ8A	ENSG00000163050	COQ8A	100.00	1
ENSMMUG00000050632	ADPRS	ENSG00000116863	ADPRS	100.00	1
ENSMMUG00000021388	CIART	ENSG00000159208	CIART	100.00	1
ENSMMUG00000062093					
ENSMMUG00000000016	ADSS2	ENSG00000035687	ADSS2	100.00	1
ENSMMUG00000012028	TEKT2	ENSG00000092850	TEKT2	100.00	1
ENSMMUG00000010176	DTL	ENSG00000143476	DTL	100.00	1
ENSMMUG00000000015	C1H1orf100	ENSG00000173728	C1orf100	100.00	1
ENSMMUG00000058747					
ENSMMUG00000059503	Metazoa_SRP				
ENSMMUG00000053405	Metazoa_SRP				
ENSMMUG00000058339					
ENSMMUG00000041413	mml-mir-3122				
ENSMMUG00000006252	AGO3	ENSG00000126070	AGO3	100.00	1
ENSMMUG00000048772					
ENSMMUG00000050870	U6	ENSG00000206889	RNU6-1200P	100.00	1
ENSMMUG00000039543	Metazoa_SRP	ENSG00000244066	RN7SL148P	100.00	1
ENSMMUG00000053438					
ENSMMUG00000047935					
ENSMMUG00000011832	E2F2	ENSG00000007968	E2F2	100.00	1
ENSMMUG00000055596	Metazoa_SRP				
ENSMMUG00000008149	ILF2	ENSG00000143621	ILF2	100.00	1
ENSMMUG00000015664	ZBTB18	ENSG00000179456	ZBTB18	100.00	1
ENSMMUG00000061500					
ENSMMUG00000019771	PPP2R5A	ENSG00000066027	PPP2R5A	100.00	1
ENSMMUG00000063991					
ENSMMUG00000058567					
ENSMMUG00000055600					
ENSMMUG00000058282					
ENSMMUG00000044406	POU3F1	ENSG00000185668	POU3F1	100.00	1
ENSMMUG00000049847					
ENSMMUG00000026424	SNORA16B	ENSG00000201544	SNORA16B	100.00	1
ENSMMUG00000055817	Metazoa_SRP				
ENSMMUG00000042021	ASAP3	ENSG00000088280	ASAP3	100.00	1
ENSMMUG00000006251	AGO1	ENSG00000092847	AGO1	100.00	1
ENSMMUG00000002141	PACC1	ENSG00000065600	PACC1	100.00	1
ENSMMUG00000008836	DDOST	ENSG00000117245	KIF17	100.00	1
ENSMMUG00000002142	NENF	ENSG00000117691	NENF	100.00	1
ENSMMUG00000019995	AKT3	ENSG00000117020	AKT3	100.00	1
ENSMMUG00000000932	PPP2R3A	ENSG00000073711	PPP2R3A	100.00	1
ENSMMUG00000053224	SNAPIN	ENSG00000143553	SNAPIN	100.00	1
ENSMMUG00000015158	SLC6A9	ENSG00000196517	SLC6A9	100.00	1
ENSMMUG00000022196	GPR160	ENSG00000173890	GPR160	100.00	1
ENSMMUG00000008835	PINK1	ENSG00000158828	PINK1	100.00	1
ENSMMUG00000008146	CHTOP	ENSG00000160679	CHTOP	100.00	1
ENSMMUG00000064143	Metazoa_SRP				
ENSMMUG00000034148	U4	ENSG00000201342	RNU4-38P	100.00	1
ENSMMUG00000010977	TCEA3	ENSG00000204219	TCEA3	100.00	1
ENSMMUG00000008145	S100A1	ENSG00000160678	S100A1	100.00	1
ENSMMUG00000056564	CDA	ENSG00000158825	CDA	100.00	1
ENSMMUG00000003304	EPHB3	ENSG00000182580	EPHB3	100.00	1
ENSMMUG00000015156	CCDC24	ENSG00000159214	CCDC24	100.00	1
ENSMMUG00000057586	S100A13	ENSG00000189171	S100A13	100.00	1
ENSMMUG00000031508		ENSG00000128789	PSMG2	0.00	0
ENSMMUG00000054804	Metazoa_SRP				
ENSMMUG00000003343	AGO4	ENSG00000134698	AGO4	100.00	1
ENSMMUG00000060391					
ENSMMUG00000055518	S100A14	ENSG00000189334	S100A14	100.00	1
ENSMMUG00000000933	MSL2	ENSG00000174579	MSL2	100.00	1
ENSMMUG00000025174	Y_RNA	ENSG00000201405	Y_RNA	100.00	1
ENSMMUG00000057562					
ENSMMUG00000050612	Metazoa_SRP				
ENSMMUG00000057322					
ENSMMUG00000064198					
ENSMMUG00000063790					
ENSMMUG00000051858					
ENSMMUG00000015155	B4GALT2	ENSG00000117411	B4GALT2	100.00	1
ENSMMUG00000050796	FAM43B	ENSG00000183114	FAM43B	100.00	1
ENSMMUG00000045106	S100A16	ENSG00000188643	S100A16	100.00	1
ENSMMUG00000061927	Metazoa_SRP				
ENSMMUG00000008638	CDC42BPA	ENSG00000143776	CDC42BPA	100.00	1
ENSMMUG00000016974	DNAH1	ENSG00000114841	DNAH1	100.00	1
ENSMMUG00000010973	ZNF436	ENSG00000125945	ZNF436	100.00	1
ENSMMUG00000002953	MAGEF1	ENSG00000177383	MAGEF1	100.00	1
ENSMMUG00000061122					
ENSMMUG00000010978	S100A2	ENSG00000196754	S100A2	100.00	1
ENSMMUG00000051774	MUL1	ENSG00000090432	MUL1	100.00	1
ENSMMUG00000054972					
ENSMMUG00000052045	Metazoa_SRP				
ENSMMUG00000055243					
ENSMMUG00000022199	PHC3	ENSG00000173889	PHC3	100.00	1
ENSMMUG00000019994	SDCCAG8	ENSG00000054282	SDCCAG8	100.00	1
ENSMMUG00000050423					
ENSMMUG00000031655	S100A3	ENSG00000188015	S100A3	100.00	1
ENSMMUG00000053265					
ENSMMUG00000022884	GLUL	ENSG00000135821	GLUL	100.00	1
ENSMMUG00000063102	CAMK2N1	ENSG00000162545	CAMK2N1	100.00	1
ENSMMUG00000010979	S100A4	ENSG00000196154	S100A4	100.00	1
ENSMMUG00000015150	DPH2	ENSG00000132768	DPH2	100.00	1
ENSMMUG00000010970	HNRNPR	ENSG00000125944	HNRNPR	100.00	1
ENSMMUG00000010980	S100A5	ENSG00000196420	S100A5	100.00	1
ENSMMUG00000064110					
ENSMMUG00000008917	S100A6	ENSG00000197956	S100A6	100.00	1
ENSMMUG00000055701					
ENSMMUG00000053474	Metazoa_SRP				
ENSMMUG00000022886	TEDDM1	ENSG00000203730	TEDDM1	100.00	1
ENSMMUG00000003262	PCCB	ENSG00000114054	PCCB	100.00	1
ENSMMUG00000058556	U6				
ENSMMUG00000011221	FCAMR	ENSG00000162897	FCAMR	100.00	1
ENSMMUG00000049444					
ENSMMUG00000040678	Metazoa_SRP	ENSG00000263841	RN7SL44P	100.00	1
ENSMMUG00000006022	VWA5B1	ENSG00000158816	VWA5B1	100.00	1
ENSMMUG00000001803	GJA5	ENSG00000265107	GJA5	100.00	1
ENSMMUG00000010961	CLSPN	ENSG00000092853	CLSPN	100.00	1
ENSMMUG00000059457					
ENSMMUG00000022173	C1H1orf116	ENSG00000182795	C1orf116	100.00	1
ENSMMUG00000047604	Metazoa_SRP	ENSG00000277762	RN7SL261P	100.00	1
ENSMMUG00000056485		ENSG00000184330	S100A7A	100.00	0
ENSMMUG00000032222	HTR1D	ENSG00000179546	HTR1D	100.00	1
ENSMMUG00000022171	YOD1	ENSG00000180667	YOD1	100.00	1
ENSMMUG00000061389	Metazoa_SRP				
ENSMMUG00000004833					
ENSMMUG00000031291	RGSL1	ENSG00000121446	RGSL1	100.00	1
ENSMMUG00000004835					
ENSMMUG00000012185	ATF3	ENSG00000162772	ATF3	100.00	1
ENSMMUG00000036025	U6	ENSG00000252578	RNU6-135P	100.00	1
ENSMMUG00000056752	U6	ENSG00000206935	RNU6-514P	100.00	1
ENSMMUG00000001349	CHL1	ENSG00000134121	CHL1	100.00	1
ENSMMUG00000052576	GARIN4	ENSG00000162771	GARIN4	100.00	1
ENSMMUG00000005740	USP24	ENSG00000162402	USP24	100.00	1
ENSMMUG00000047853		ENSG00000184330	S100A7A	100.00	1
ENSMMUG00000045584	LUZP1	ENSG00000169641	LUZP1	100.00	1
ENSMMUG00000013857	GCLM	ENSG00000023909	GCLM	100.00	1
ENSMMUG00000016982	BAP1	ENSG00000163930	BAP1	100.00	1
ENSMMUG00000052341					
ENSMMUG00000056664	U6	ENSG00000199536	RNU6-315P	100.00	1
ENSMMUG00000015142	IPO13	ENSG00000117408	IPO13	100.00	1
ENSMMUG00000004832					
ENSMMUG00000022170	PFKFB2	ENSG00000123836	PFKFB2	100.00	1
ENSMMUG00000035795	U7				
ENSMMUG00000038517	UBXN10	ENSG00000162543	UBXN10	100.00	1
ENSMMUG00000021387	C1H1orf54	ENSG00000118292	C1orf54	100.00	1
ENSMMUG00000015056	BATF3	ENSG00000123685	BATF3	100.00	1
ENSMMUG00000044778	S100A8	ENSG00000143546	S100A8	100.00	1
ENSMMUG00000052344	PLA2G2C	ENSG00000187980	PLA2G2C	100.00	1
ENSMMUG00000059270	C1H1orf216	ENSG00000142686	C1orf216	100.00	1
ENSMMUG00000061945	U6				
ENSMMUG00000064796	S100A12	ENSG00000163221	S100A12	100.00	1
ENSMMUG00000006868	S100A9	ENSG00000163220	S100A9	100.00	1
ENSMMUG00000008435	DNTTIP2				
ENSMMUG00000049733	PLA2G2F	ENSG00000158786	PLA2G2F	100.00	1
ENSMMUG00000005634	RNASEL	ENSG00000135828	RNASEL	100.00	1
ENSMMUG00000006865	PGLYRP4	ENSG00000163218	PGLYRP4	100.00	1
ENSMMUG00000019287	NSL1	ENSG00000117697	NSL1	100.00	1
ENSMMUG00000013090	PSMB2	ENSG00000126067	PSMB2	100.00	1
ENSMMUG00000058244					
ENSMMUG00000052239	U6	ENSG00000207321	RNU6-160P	100.00	1
ENSMMUG00000053940	PGLYRP3	ENSG00000159527	PGLYRP3	100.00	1
ENSMMUG00000064041					
ENSMMUG00000032677	MIR760	ENSG00000211575	MIR760	100.00	1
ENSMMUG00000060204	Metazoa_SRP				
ENSMMUG00000053534	Metazoa_SRP				
ENSMMUG00000045550	PLA2G2D	ENSG00000117215	PLA2G2D	100.00	1
ENSMMUG00000051554	Metazoa_SRP				
ENSMMUG00000022168	C4BPB	ENSG00000123843	C4BPB	100.00	1
ENSMMUG00000009773	KDM1A	ENSG00000004487	KDM1A	100.00	1
ENSMMUG00000042187	MIR4677	ENSG00000265201	MIR4677	100.00	1
ENSMMUG00000043598	LORICRIN				
ENSMMUG00000055481	RGS16	ENSG00000143333	RGS16	100.00	1
ENSMMUG00000061167	ARTN	ENSG00000117407	ARTN	100.00	1
ENSMMUG00000045959					
ENSMMUG00000019815	TFAP2E	ENSG00000116819	TFAP2E	100.00	1
ENSMMUG00000031430	TATDN3	ENSG00000203705	TATDN3	100.00	1
ENSMMUG00000021750	PRR9	ENSG00000203783	PRR9	100.00	1
ENSMMUG00000064805	PLA2G5	ENSG00000127472	PLA2G5	100.00	1
ENSMMUG00000051645					
ENSMMUG00000011222	PRKCI	ENSG00000163558	PRKCI	100.00	1
ENSMMUG00000057430					
ENSMMUG00000051591					
ENSMMUG00000016984	PHF7	ENSG00000010318	PHF7	100.00	1
ENSMMUG00000064352					
ENSMMUG00000059169	SPATA45	ENSG00000185523	SPATA45	100.00	1
ENSMMUG00000013738	C4BPA				
ENSMMUG00000008990	RGS8	ENSG00000135824	RGS8	100.00	1
ENSMMUG00000021862	PLA2G2A	ENSG00000188257	PLA2G2A	100.00	1
ENSMMUG00000049143					
ENSMMUG00000037766	Metazoa_SRP	ENSG00000242688	RN7SL304P	100.00	1
ENSMMUG00000019812	NCDN	ENSG00000020129	NCDN	100.00	1
ENSMMUG00000015924	BCAR3	ENSG00000137936	BCAR3	100.00	1
ENSMMUG00000055077	ZBTB8B	ENSG00000273274	ZBTB8B	100.00	1
ENSMMUG00000050331	Metazoa_SRP				
ENSMMUG00000041086	Metazoa_SRP	ENSG00000263529	RN7SL122P	100.00	1
ENSMMUG00000011732	FLVCR1	ENSG00000162769	FLVCR1	100.00	1
ENSMMUG00000053964	PLA2G2E	ENSG00000188784	PLA2G2E	100.00	1
ENSMMUG00000000425	VPS8	ENSG00000156931	VPS8	100.00	1
ENSMMUG00000018872	SEMA3G	ENSG00000010319	SEMA3G	100.00	1
ENSMMUG00000015555	ST3GAL3	ENSG00000126091	ST3GAL3	100.00	1
ENSMMUG00000061474					
ENSMMUG00000055316					
ENSMMUG00000019914	CEP170	ENSG00000143702	CEP170	100.00	1
ENSMMUG00000020834	UTP11	ENSG00000183520	UTP11	100.00	1
ENSMMUG00000054857					
ENSMMUG00000010764	OTUD3	ENSG00000169914	OTUD3	100.00	1
ENSMMUG00000055798					
ENSMMUG00000036441		ENSG00000252920		100.00	1
ENSMMUG00000064729	SPRR3	ENSG00000163209	SPRR3	100.00	1
ENSMMUG00000057296					
ENSMMUG00000011733	VASH2	ENSG00000143494	VASH2	100.00	1
ENSMMUG00000005618	TNNC1	ENSG00000114854	TNNC1	100.00	1
ENSMMUG00000023624	Metazoa_SRP				
ENSMMUG00000015922	FNBP1L	ENSG00000137942	FNBP1L	100.00	1
ENSMMUG00000001264	BSDC1	ENSG00000160058	BSDC1	100.00	1
ENSMMUG00000063702					
ENSMMUG00000054613	RNF186	ENSG00000178828	RNF186	100.00	1
ENSMMUG00000008992	NPL	ENSG00000135838	NPL	100.00	1
ENSMMUG00000016215	HIVEP3	ENSG00000127124	HIVEP3	100.00	1
ENSMMUG00000042618	IVL	ENSG00000163207	IVL	100.00	1
ENSMMUG00000011711	CD55	ENSG00000196352	CD55	100.00	0
ENSMMUG00000017740	SMCP	ENSG00000163206	SMCP	100.00	1
ENSMMUG00000019806	KIAA0319L	ENSG00000142687	KIAA0319L	100.00	1
ENSMMUG00000011735	ANGEL2	ENSG00000174606	ANGEL2	100.00	1
ENSMMUG00000002492	TMCO4	ENSG00000162542	TMCO4	100.00	1
ENSMMUG00000016214	EDN2	ENSG00000127129	EDN2	100.00	1
ENSMMUG00000037367	U6	ENSG00000272337	RNU6-90P	0.00	0
ENSMMUG00000055038					
ENSMMUG00000003263	STAG1	ENSG00000118007	STAG1	100.00	1
ENSMMUG00000054634		ENSG00000186226	LCE1E	100.00	1
ENSMMUG00000054634		ENSG00000172155	LCE1D	100.00	1
ENSMMUG00000044175	FOXO6	ENSG00000204060	FOXO6	100.00	1
ENSMMUG00000063714					
ENSMMUG00000051719		ENSG00000196734	LCE1B	100.00	1
ENSMMUG00000051719		ENSG00000197084	LCE1C	100.00	1
ENSMMUG00000027973	Y_RNA	ENSG00000207379	Y_RNA	100.00	1
ENSMMUG00000052260	Metazoa_SRP				
ENSMMUG00000059561					
ENSMMUG00000054650					
ENSMMUG00000049795	Y_RNA	ENSG00000200118	Y_RNA	100.00	1
ENSMMUG00000058472		ENSG00000186226	LCE1E	100.00	1
ENSMMUG00000058472		ENSG00000172155	LCE1D	100.00	1
ENSMMUG00000058332	TEX46	ENSG00000227868	TEX46	100.00	1
ENSMMUG00000043588					
ENSMMUG00000064604	Metazoa_SRP				
ENSMMUG00000056940		ENSG00000186226	LCE1E	100.00	1
ENSMMUG00000056940		ENSG00000172155	LCE1D	100.00	1
ENSMMUG00000062759					
ENSMMUG00000062448	Metazoa_SRP				
ENSMMUG00000063749	HTR6	ENSG00000158748	HTR6	100.00	1
ENSMMUG00000048617	Metazoa_SRP	ENSG00000244169	RN7SL120P	100.00	1
ENSMMUG00000050859	Y_RNA				
ENSMMUG00000005619	NISCH	ENSG00000010322	NISCH	100.00	1
ENSMMUG00000055266		ENSG00000186226	LCE1E	100.00	1
ENSMMUG00000055266		ENSG00000172155	LCE1D	100.00	1
ENSMMUG00000041482	LACTBL1	ENSG00000215906	LACTBL1	100.00	1
ENSMMUG00000012479	KDM4A	ENSG00000066135	KDM4A	100.00	1
ENSMMUG00000061742	Metazoa_SRP				
ENSMMUG00000051816	KPRP	ENSG00000203786	KPRP	100.00	1
ENSMMUG00000039099	SKIL	ENSG00000136603	SKIL	100.00	1
ENSMMUG00000063085	Metazoa_SRP				
ENSMMUG00000005635	DHX9	ENSG00000135829	DHX9	100.00	1
ENSMMUG00000017104	SCMH1	ENSG00000010803	SCMH1	100.00	1
ENSMMUG00000001966	C1H1orf68				
ENSMMUG00000013602	CR2	ENSG00000117322	CR2	100.00	1
ENSMMUG00000032231	NBL1	ENSG00000158747	NBL1	100.00	0
ENSMMUG00000053960	Metazoa_SRP				
ENSMMUG00000059167	Metazoa_SRP				
ENSMMUG00000016812	CCDC18	ENSG00000122483	CCDC18	100.00	1
ENSMMUG00000049843		ENSG00000187180	LCE2C	100.00	1
ENSMMUG00000049843		ENSG00000187223	LCE2D	67.33	1
ENSMMUG00000049843		ENSG00000159455	LCE2B	100.00	1
ENSMMUG00000062996					
ENSMMUG00000014874	GTPBP8	ENSG00000163607	GTPBP8	100.00	1
ENSMMUG00000004265	PLD5	ENSG00000180287	PLD5	100.00	1
ENSMMUG00000008549	CNTN6	ENSG00000134115	CNTN6	100.00	1
ENSMMUG00000049286		ENSG00000187180	LCE2C	60.51	1
ENSMMUG00000049286		ENSG00000187223	LCE2D	100.00	1
ENSMMUG00000049286		ENSG00000159455	LCE2B	60.51	1
ENSMMUG00000059260	CLDN11	ENSG00000013297	CLDN11	100.00	1
ENSMMUG00000064556	MRPS25	ENSG00000131368	MRPS25	100.00	1
ENSMMUG00000003581	TMIGD3	ENSG00000121933	TMIGD3	100.00	1
ENSMMUG00000053735					
ENSMMUG00000023382	EPHB2	ENSG00000133216	EPHB2	100.00	1
ENSMMUG00000017103	SLFNL1	ENSG00000171790	SLFNL1	100.00	1
ENSMMUG00000058094					
